Civs,BanPct,DoubleBanPct,PickPct,DoublePickPct,PlayedPct,Score,Rank
Chinese,53.84615384615385,0.0,100.0,42.30769230769231,65.38461538461539,261.53846153846155,1
Khitans,80.0,24.0,100.0,8.0,20.0,232.0,2
Mongols,88.0,16.0,100.0,0.0,8.0,212.0,3
Jurchens,71.42857142857143,9.523809523809524,100.0,4.761904761904762,23.80952380952381,209.52380952380952,4
Khmer,72.72727272727273,13.636363636363637,100.0,0.0,22.727272727272727,209.0909090909091,5
Mayans,77.77777777777777,11.11111111111111,100.0,0.0,14.814814814814815,203.7037037037037,6
Vietnamese,37.93103448275862,3.4482758620689653,100.0,3.4482758620689653,51.724137931034484,196.55172413793102,7
Georgians,44.44444444444444,3.7037037037037037,100.0,0.0,48.148148148148145,196.2962962962963,8
Persians,41.37931034482759,0.0,100.0,3.4482758620689653,48.275862068965516,193.10344827586206,9
Wei,48.0,4.0,100.0,4.0,36.0,192.0,10
Byzantines,46.15384615384615,0.0,100.0,0.0,42.30769230769231,188.46153846153845,11
Malay,57.142857142857146,0.0,100.0,0.0,28.571428571428573,185.71428571428572,12
Incas,47.82608695652174,4.3478260869565215,91.66666666666667,0.0,39.130434782608695,182.97101449275362,13
Portuguese,42.30769230769231,3.8461538461538463,100.0,0.0,30.76923076923077,176.92307692307693,14
Shu,44.44444444444444,0.0,93.33333333333333,0.0,29.62962962962963,167.4074074074074,15
Hindustanis,40.74074074074074,0.0,93.75,0.0,29.62962962962963,164.12037037037035,16
Koreans,36.0,0.0,93.75,0.0,28.0,157.75,17
Japanese,8.0,0.0,100.0,0.0,44.0,152.0,18
Vikings,14.285714285714286,0.0,87.5,0.0,50.0,151.78571428571428,19
Romans,17.391304347826086,0.0,89.47368421052632,0.0,43.47826086956522,150.3432494279176,20
Malians,14.814814814814815,0.0,86.95652173913044,0.0,48.148148148148145,149.9194847020934,21
Gurjaras,0.0,0.0,92.0,0.0,48.0,140.0,22
Lithuanians,11.11111111111111,3.7037037037037037,66.66666666666667,0.0,33.333333333333336,114.81481481481481,23
Wu,20.0,0.0,65.0,0.0,28.0,113.0,24
Magyars,9.523809523809524,0.0,68.42105263157895,0.0,33.333333333333336,111.27819548872179,25
Tatars,4.0,0.0,70.83333333333333,0.0,24.0,98.83333333333333,26
Burgundians,11.11111111111111,0.0,54.166666666666664,0.0,25.925925925925927,91.2037037037037,27
Armenians,16.666666666666668,0.0,45.0,0.0,29.166666666666668,90.83333333333334,28
Huns,4.3478260869565215,0.0,59.09090909090909,0.0,17.391304347826086,80.8300395256917,29
Italians,3.5714285714285716,0.0,62.96296296296296,0.0,14.285714285714286,80.82010582010582,30
Ethiopians,5.555555555555555,0.0,47.05882352941177,0.0,16.666666666666668,69.281045751634,31
Bengalis,30.76923076923077,0.0,22.22222222222222,0.0,11.538461538461538,64.52991452991452,32
Saracens,3.8461538461538463,0.0,40.0,0.0,11.538461538461538,55.38461538461539,33
Aztecs,16.666666666666668,0.0,30.0,0.0,4.166666666666667,50.833333333333336,34
Slavs,4.0,0.0,33.333333333333336,0.0,12.0,49.333333333333336,35
Berbers,0.0,0.0,28.571428571428573,0.0,9.523809523809524,38.095238095238095,36
Franks,0.0,0.0,29.166666666666668,0.0,8.333333333333334,37.5,37
Bulgarians,4.0,0.0,12.5,0.0,8.0,24.5,38
Celts,0.0,0.0,19.23076923076923,0.0,3.8461538461538463,23.076923076923077,39
Dravidians,0.0,0.0,22.727272727272727,0.0,0.0,22.727272727272727,40
Bohemians,0.0,0.0,11.538461538461538,0.0,7.6923076923076925,19.23076923076923,41
Poles,0.0,0.0,13.043478260869565,0.0,4.3478260869565215,17.391304347826086,42
Teutons,0.0,0.0,5.882352941176471,0.0,5.882352941176471,11.764705882352942,43
Burmese,3.5714285714285716,0.0,7.407407407407407,0.0,0.0,10.97883597883598,44
Spanish,0.0,0.0,4.0,0.0,4.0,8.0,45
Cumans,5.0,0.0,0.0,0.0,0.0,5.0,46
Sicilians,3.7037037037037037,0.0,0.0,0.0,0.0,3.7037037037037037,47
Britons,0.0,0.0,0.0,0.0,0.0,0.0,48
Goths,0.0,0.0,0.0,0.0,0.0,0.0,49
Turks,0.0,0.0,0.0,0.0,0.0,0.0,50
